cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
157028740,6-(cyclopropanecarbonylamino)-4-[3-[6-(dimethylcarbamoyl)pyridazin-3-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4792694|BDBM50565982,493.500,C24H26N8O4,151.000,794.000,0.900,36,3,9,8,"InChI=1S/C24H26N8O4/c1-25-23(34)20-18(12-19(30-31-20)27-22(33)13-8-9-13)26-16-7-5-6-14(21(16)36-4)15-10-11-17(29-28-15)24(35)32(2)3/h5-7,10-13H,8-9H2,1-4H3,(H,25,34)(H2,26,27,30,33)/i1D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NN=C(C=C3)C(=O)N(C)C)NC(=O)C4CC4,YRGAWFHWYYVABX-FIBGUPNXSA-N,6-(cyclopropanecarbonylamino)-4-[3-[6-(dimethylcarbamoyl)pyridazin-3-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028738,6-(cyclopropanecarbonylamino)-4-[3-[5-(2-hydroxypropan-2-yl)pyrazin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4799559|BDBM50565977,480.500,C24H27N7O4,151.000,749.000,0.700,35,4,9,8,"InChI=1S/C24H27N7O4/c1-24(2,34)18-12-26-17(11-27-18)14-6-5-7-15(21(14)35-4)28-16-10-19(29-22(32)13-8-9-13)30-31-20(16)23(33)25-3/h5-7,10-13,34H,8-9H2,1-4H3,(H,25,33)(H2,28,29,30,32)/i3D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=CN=C(C=N3)C(C)(C)O)NC(=O)C4CC4,CKOBMYPPMKMVNN-HPRDVNIFSA-N,6-(cyclopropanecarbonylamino)-4-[3-[5-(2-hydroxypropan-2-yl)pyrazin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744130|1744131|1744132|1744134|1744135|1744136|1744137|1744138|1744139,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028734,6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(5-methoxypyrimidin-2-yl)anilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4799019|BDBM50565968,452.500,C22H23N7O4,140.000,671.000,1.400,33,3,9,8,"InChI=1S/C22H23N7O4/c1-23-22(31)18-16(9-17(28-29-18)27-21(30)12-7-8-12)26-15-6-4-5-14(19(15)33-3)20-24-10-13(32-2)11-25-20/h4-6,9-12H,7-8H2,1-3H3,(H,23,31)(H2,26,27,28,30)/i1D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=C(C=N3)OC)NC(=O)C4CC4,AKROLHBODHQJQB-FIBGUPNXSA-N,6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(5-methoxypyrimidin-2-yl)anilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028729,6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(5-methylpyrimidin-2-yl)anilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4785957|BDBM50565966,436.500,C22H23N7O3,131.000,653.000,1.800,32,3,8,7,"InChI=1S/C22H23N7O3/c1-12-10-24-20(25-11-12)14-5-4-6-15(19(14)32-3)26-16-9-17(27-21(30)13-7-8-13)28-29-18(16)22(31)23-2/h4-6,9-11,13H,7-8H2,1-3H3,(H,23,31)(H2,26,27,28,30)/i2D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=C(C=N3)C)NC(=O)C4CC4,FRYJARBJFRUEJK-BMSJAHLVSA-N,6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(5-methylpyrimidin-2-yl)anilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028706,6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(5-methylpyrazin-2-yl)anilino]-N-(trideuteriomethyl)pyridine-3-carboxamide,CHEMBL4780233|BDBM50565984,435.500,C23H24N6O3,118.000,660.000,2.100,32,3,7,7,"InChI=1S/C23H24N6O3/c1-13-10-26-19(12-25-13)15-5-4-6-17(21(15)32-3)28-18-9-20(29-22(30)14-7-8-14)27-11-16(18)23(31)24-2/h4-6,9-12,14H,7-8H2,1-3H3,(H,24,31)(H2,27,28,29,30)/i2D3",[2H]C([2H])([2H])NC(=O)C1=CN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=C(N=C3)C)NC(=O)C4CC4,QEFXBBGNUZPWAR-BMSJAHLVSA-N,6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(5-methylpyrazin-2-yl)anilino]-N-(trideuteriomethyl)pyridine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028702,6-(cyclopropanecarbonylamino)-4-[3-[5-(dimethylcarbamoyl)pyrimidin-2-yl]-5-fluoro-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4792780|BDBM50565976,511.500,C24H25FN8O4,151.000,823.000,1.000,37,3,10,8,"InChI=1S/C24H25FN8O4/c1-26-23(35)19-16(9-18(31-32-19)30-22(34)12-5-6-12)29-17-8-14(25)7-15(20(17)37-4)21-27-10-13(11-28-21)24(36)33(2)3/h7-12H,5-6H2,1-4H3,(H,26,35)(H2,29,30,31,34)/i1D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC(=CC(=C2OC)C3=NC=C(C=N3)C(=O)N(C)C)F)NC(=O)C4CC4,FWRUAGWEKWPRAU-FIBGUPNXSA-N,6-(cyclopropanecarbonylamino)-4-[3-[5-(dimethylcarbamoyl)pyrimidin-2-yl]-5-fluoro-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028701,6-(cyclopropanecarbonylamino)-4-[3-[5-(diethylcarbamoyl)pyrimidin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4800399|BDBM50565974,521.600,C26H30N8O4,151.000,815.000,1.600,38,3,9,10,"InChI=1S/C26H30N8O4/c1-5-34(6-2)26(37)16-13-28-23(29-14-16)17-8-7-9-18(22(17)38-4)30-19-12-20(31-24(35)15-10-11-15)32-33-21(19)25(36)27-3/h7-9,12-15H,5-6,10-11H2,1-4H3,(H,27,36)(H2,30,31,32,35)/i3D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=C(C=N3)C(=O)N(CC)CC)NC(=O)C4CC4,GSBQFXAPINJTFG-HPRDVNIFSA-N,6-(cyclopropanecarbonylamino)-4-[3-[5-(diethylcarbamoyl)pyrimidin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
138713709,"6-[(cyclopropanecarbonyl)amino]-4-{[2-methoxy-3-(1-methyl-1H-1,2,4-triazol-3-yl)phenyl]amino}-N-methylpyridazine-3-carboxamide","6-[(cyclopropanecarbonyl)amino]-4-{[2-methoxy-3-(1-methyl-1H-1,2,4-triazol-3-yl)phenyl]amino}-N-methylpyridazine-3-carboxamide|CHEMBL4596392|SCHEMBL21091048|BDBM500288|BCP30443|US11021475, Example 52|US11021475, Example 67|SY294781|BMS 986165; BMS986165;Tyk2-IN-4|6-(Cyclopropanecarboxamido)-4-[[2-methoxy-3-(1-methyl-1H-1,2,4-triazol-3-yl)phenyl]amino]-N-methylpyridazine-3-carboxamide|LB7",422.400,C20H22N8O3,136.000,648.000,1.200,31,3,8,7,"InChI=1S/C20H22N8O3/c1-21-20(30)16-14(9-15(25-26-16)24-19(29)11-7-8-11)23-13-6-4-5-12(17(13)31-3)18-22-10-28(2)27-18/h4-6,9-11H,7-8H2,1-3H3,(H,21,30)(H2,23,24,25,29)",CNC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NN(C=N3)C)NC(=O)C4CC4,BZZKEPGENYLQSC-UHFFFAOYSA-N,"6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(1-methyl-1,2,4-triazol-3-yl)anilino]-N-methylpyridazine-3-carboxamide",NULL,Biological Test Results|Biomolecular Interactions and Pathways|Patents,3,1671498,20190720,Accela ChemBio Inc.|BindingDB|BioChemPartner|BOC Sciences|ChEMBL|ChemShuttle|Google Patents|MolPort|NCBI Structure|PATENTSCOPE (WIPO)|Protein Data Bank in Europe (PDBe)|SureChEMBL,Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,NULL
122579408,"6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(1-methyl-1,2,4-triazol-3-yl)anilino]-N-(trideuteriomethyl)pyridine-3-carboxamide",CHEMBL4571117|SCHEMBL18102143|BDBM50519520,424.500,C21H23N7O3,123.000,647.000,1.900,31,3,7,7,"InChI=1S/C21H23N7O3/c1-22-21(30)14-10-23-17(26-20(29)12-7-8-12)9-16(14)25-15-6-4-5-13(18(15)31-3)19-24-11-28(2)27-19/h4-6,9-12H,7-8H2,1-3H3,(H,22,30)(H2,23,25,26,29)/i1D3",[2H]C([2H])([2H])NC(=O)C1=CN=C(C=C1NC2=CC=CC(=C2OC)C3=NN(C=N3)C)NC(=O)C4CC4,FYXUGQDHTWRPDY-FIBGUPNXSA-N,"6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(1-methyl-1,2,4-triazol-3-yl)anilino]-N-(trideuteriomethyl)pyridine-3-carboxamide",NULL,Biological Test Results|Classification|Patents,3,1579023|1579024|1579025|1579026|1579027|1579028|1579029,20161208,BindingDB|ChEMBL|Google Patents|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL
118072319,"6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(1-methyl-1,2,4-triazol-3-yl)anilino]-N-methylpyridine-3-carboxamide",CHEMBL4476261|SCHEMBL16712842|BDBM50519539,421.500,C21H23N7O3,123.000,647.000,1.900,31,3,7,7,"InChI=1S/C21H23N7O3/c1-22-21(30)14-10-23-17(26-20(29)12-7-8-12)9-16(14)25-15-6-4-5-13(18(15)31-3)19-24-11-28(2)27-19/h4-6,9-12H,7-8H2,1-3H3,(H,22,30)(H2,23,25,26,29)",CNC(=O)C1=CN=C(C=C1NC2=CC=CC(=C2OC)C3=NN(C=N3)C)NC(=O)C4CC4,FYXUGQDHTWRPDY-UHFFFAOYSA-N,"6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(1-methyl-1,2,4-triazol-3-yl)anilino]-N-methylpyridine-3-carboxamide",NULL,Biological Test Results|Classification|Patents,3,1579023|1579024|1579025|1579026|1579027|1579028,20160223,BindingDB|ChEMBL|Google Patents|IBM|PATENTSCOPE (WIPO)|SureChEMBL,Curation Efforts|Governmental Organizations|Research and Development,NULL
