,smiles,prediction,prediction_type,ligand ID,vina_affinity,exhaustiveness,n_poses,Molecule ChEMBL ID
24,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,5.853438633625079,docking,Predicted_nr2,-7.979,10.0,10.0,
25,C1CCC(CC1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,5.727992085642889,docking,Predicted_nr3,-7.808,10.0,10.0,
26,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NN=N3,5.771274812724464,docking,Predicted_nr4,-7.867,10.0,10.0,
27,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)N,6.77924882984451,docking,Predicted_nr5,-9.241,10.0,10.0,
66,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,9.14,actual,Ruxolitinib,,,,CHEMBL1789941
71,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,9.4,actual,Ruxolitinib,,,,CHEMBL1789941
79,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,7.72,actual,Ruxolitinib,,,,CHEMBL1789941
105,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,8.06,actual,Baricitinib,,,,CHEMBL2105759
137,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,7.72,actual,Ruxolitinib,,,,CHEMBL1789941
151,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,9.0,actual,AT-9283,,,,CHEMBL495727
195,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,7.89,actual,Deucravacitinib,,,,CHEMBL4435170
198,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,8.7,actual,Deucravacitinib,,,,CHEMBL4435170
223,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,7.21,actual,Baricitinib,,,,CHEMBL2105759
288,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,7.75,actual,Deucravacitinib,,,,CHEMBL4435170
360,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,7.52,actual,Ruxolitinib,,,,CHEMBL1789941
595,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,7.28,actual,Baricitinib,,,,CHEMBL2105759
784,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,7.96,actual,Ruxolitinib,,,,CHEMBL1789941
856,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cc(F)cc(-c2ncccn2)c1OC,9.6,actual,CHEMBL4793760,,,,CHEMBL4793760
903,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,8.28,actual,Deucravacitinib,,,,CHEMBL4435170
918,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,7.52,actual,Ruxolitinib,,,,CHEMBL1789941
963,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,9.7,actual,Deucravacitinib,,,,CHEMBL4435170
972,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,7.24,actual,CHEMBL4789639,,,,CHEMBL4789639
1187,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,9.7,actual,Deucravacitinib,,,,CHEMBL4435170
1192,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cc(F)cc(-c2ncccn2)c1OC,7.77,actual,CHEMBL4793760,,,,CHEMBL4793760
1374,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,7.92,actual,CHEMBL4789639,,,,CHEMBL4789639
1387,NC(=O)c1cnc2[nH]ccc2c1N[C@H]1[C@H]2CC3C[C@@H]1C[C@](O)(C3)C2,8.32,actual,Peficitinib,,,,CHEMBL3137308
1426,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cc(F)cc(-c2ncccn2)c1OC,7.23,actual,CHEMBL4793760,,,,CHEMBL4793760
1430,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,7.28,actual,Baricitinib,,,,CHEMBL2105759
1464,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,7.28,actual,Baricitinib,,,,CHEMBL2105759
1479,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,8.05,actual,Deucravacitinib,,,,CHEMBL4435170
1567,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,8.0,actual,CHEMBL4789639,,,,CHEMBL4789639
1780,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,9.72,actual,CHEMBL4789639,,,,CHEMBL4789639
1858,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,7.21,actual,Baricitinib,,,,CHEMBL2105759
